category,category_desc,group_type,group_name,SMARTS,SMARTS_desc
AA,Amino Acids, acyl halide ,Generic amino acid: low specificity.,"[NX3,NX4+][CX4H]([*])[CX3](=[OX1])[O,N]","For use w/ non-standard a.a. search. hits pro but not gly. Hits acids and conjugate bases.  Hits single a.a.s and specific residues
w/in polypeptides (internal, or terminal)."
AA,Amino Acids, acyl halide ,Glycine,"[$([$([NX3H2,NX4H3+]),$([NX3H](C)(C))][CX4H2][CX3](=[OX1])[OX2H,OX1-,N])]",
AA,Amino Acids, acyl halide ,Proline,"[$([NX3H,NX4H2+]),$([NX3](C)(C)(C))]1[CX4H]([CH2][CH2][CH2]1)[CX3](=[OX1])[OX2H,OX1-,N]",
AA,Amino Acids, acyl halide ,Bicyclic,[$([*R2]([*R])([*R])([*R]))].[$([*R2]([*R])([*R])([*R]))],Bicyclic compounds have 2 bridgehead atoms with 3 arms connecting the bridgehead atoms.
ACID, Acids & Bases , Hydrogens ,Acyl Halide,"[CX3](=[OX1])[F,Cl,Br,I]","(acid halide, -oyl halide)"
ACID, Acids & Bases , Hydrogens ,Phosphoric_Acid,"[$(P(=[OX1])([$([OX2H]),$([OX1-]),$([OX2]P)])([$([OX2H]),$([OX1-]),$([OX2]P)])[$([OX2H]),$([OX1-]),$([OX2]P)]),$([P+]([OX1-])([$([OX2H]),$([OX1-]),$([OX2]P)])([$([OX2H]),$([OX1-]),$([OX2]P)])[$([OX2H]),$([OX1-]),$([OX2]P)])]","Hits both forms. Hits orthophosphoric acid and polyphosphoric acid anhydrides.  Doesn't hit monophosphoric acid anhydride esters (in
cluding acidic mono- & di- esters) but will hit some polyphosphoric acid anhydride esters (mono- esters on pyrophosphoric acid and longe
r, di-  esters on linear triphosphoric acid and longer). Hits acid and conjugate base."
ACID, Acids & Bases , Hydrogens ,Hydroxyl_acidic,[$([OH]-*=[!#6])],"An acidic hydroxyl is a hydroxyl bonded to an atom which is multiply bonded to a hetero atom, this includes carboxylic, sulphur, pho
sphorous, halogen and nitrogen oxyacids"
ACID, Acids & Bases , Hydrogens ,Acid,"[!H0;F,Cl,Br,I,N+,$([OH]-*=[!#6]),+]",Proton donor
ACID, Acids & Bases , Hydrogens ,Carboxylic acid or conjugate base.,"[CX3](=O)[OX1H0-,OX2H1]",
ACID, Acids & Bases , Hydrogens ,Sulfonic Acid.  High specificity.,"[$([#16X4](=[OX1])(=[OX1])([#6])[OX2H,OX1H0-]),$([#16X4+2]([OX1-])([OX1-])([#6])[OX2H,OX1H0-])]","Only hits carbo- sulfonic acids (Won't hit herteroatom-substituted molecules). Hits acid and conjugate base.  Hits Both Depiction Fo
rms. Hits Arene sulfonic acids."
ACID, Acids & Bases , Hydrogens ,Carboxylic acid,[CX3](=O)[OX2H1],"(-oic acid, COOH)"
C,C, alkane ,Alkyl Carbon,[CX4],
C,C, alkene (-ene) ,Vinylic Carbon,[$([CX3]=[CX3])],Ethenyl carbon
C,C, alkyne (-yne) ,Acetylenic Carbon,[$([CX2]#C)],
C,C," arene (Ar , aryl-, aromatic hydrocarbons) ",Arene,c,
C,C, alkene (-ene) ,Allenic Carbon,[$([CX2](=C)=C)],
